type,year,url
minutes,2019,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2019/2019-02-05.html
minutes,2019,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2019/2019-03-05.html
minutes,2019,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2019/2019-04-02.html
minutes,2019,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2019/2019-05-07.html
minutes,2019,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2019/2019-06-04.html
minutes,2019,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2019/2019-07-02.html
minutes,2019,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2019/2019-08-06.html
minutes,2019,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2019/2019-09-03.html
minutes,2019,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2019/2019-10-01.html
minutes,2019,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2019/2019-11-05.html
minutes,2019,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2019/2019-12-03.html
minutes,2020,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2020/2020-02-04.html
minutes,2020,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2020/2020-03-03.html
minutes,2020,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2020/2020-03-18.html
minutes,2020,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2020/2020-04-07.html
minutes,2020,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2020/2020-05-05.html
minutes,2020,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2020/2020-06-02.html
minutes,2020,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2020/2020-07-07.html
minutes,2020,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2020/2020-08-04.html
minutes,2020,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2020/2020-09-01.html
minutes,2020,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2020/2020-10-06.html
minutes,2020,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2020/2020-11-03.html
minutes,2020,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2020/2020-12-01.html
minutes,2021,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2021/2021-02-02.html
minutes,2021,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2021/2021-03-02.html
minutes,2021,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2021/2021-04-06.html
minutes,2021,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2021/2021-05-04.html
minutes,2021,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2021/2021-06-01.html
minutes,2021,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2021/2021-07-06.html
minutes,2021,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2021/2021-08-03.html
minutes,2021,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2021/2021-09-07.html
minutes,2021,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2021/2021-10-05.html
minutes,2021,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2021/2021-11-02.html
minutes,2021,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2021/2021-12-07.html
minutes,2022,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2022/2022-02-01.html
minutes,2022,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2022/2022-03-01.html
minutes,2022,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2022/2022-04-05.html
minutes,2022,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2022/2022-05-03.html
minutes,2022,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2022/2022-06-07.html
minutes,2022,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2022/2022-07-05.html
minutes,2022,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2022/2022-08-02.html
minutes,2022,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2022/2022-09-06.html
minutes,2022,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2022/2022-10-04.html
minutes,2022,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2022/2022-11-01.html
minutes,2022,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2022/2022-12-06.html
minutes,2023,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2023/2023-02-07.html
minutes,2023,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2023/2023-03-07.html
minutes,2023,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2023/2023-04-04.html
minutes,2023,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2023/2023-05-02.html
minutes,2023,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2023/2023-06-06.html
minutes,2023,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2023/2023-07-04.html
minutes,2023,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2023/2023-08-01.html
minutes,2023,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2023/2023-09-05.html
minutes,2023,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2023/2023-10-03.html
minutes,2023,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2023/2023-11-07.html
minutes,2023,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2023/2023-12-05.html
minutes,2024,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2024/2024-02-06.html
minutes,2024,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2024/2024-03-19.html
minutes,2024,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2024/2024-05-07.html
minutes,2024,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2024/2024-06-18.html
minutes,2024,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2024/2024-08-06.html
minutes,2024,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2024/2024-09-24.html
minutes,2024,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2024/2024-11-05.html
minutes,2024,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2024/2024-12-10.html
minutes,2025,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2025/2025-02-18.html
minutes,2025,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2025/2025-04-01.html
minutes,2025,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2025/2025-05-20.html
minutes,2025,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2025/2025-07-08.html
minutes,2025,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2025/2025-08-12.html
minutes,2025,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2025/2025-09-30.html
minutes,2025,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2025/2025-11-04.html
minutes,2025,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2025/2025-12-09.html
minutes,2026,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2026/2026-02-03.html
minutes,2026,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2026/2026-03-17.html
minutes,2026,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2026/2026-05-05.html
minutes,2026,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2026/2026-06-16.html
minutes,2026,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2026/2026-08-11.html
