type,year,month,page_url,pdf_url
smp,2013,aug,https://www.rba.gov.au/publications/smp/2013/aug/,https://www.rba.gov.au/publications/smp/2013/aug/pdf/statement-on-monetary-policy-2013-08.pdf
smp,2013,nov,https://www.rba.gov.au/publications/smp/2013/nov/,https://www.rba.gov.au/publications/smp/2013/nov/pdf/statement-on-monetary-policy-2013-11.pdf
smp,2014,feb,https://www.rba.gov.au/publications/smp/2014/feb/,https://www.rba.gov.au/publications/smp/2014/feb/pdf/statement-on-monetary-policy-2014-02.pdf
smp,2014,may,https://www.rba.gov.au/publications/smp/2014/may/,https://www.rba.gov.au/publications/smp/2014/may/pdf/statement-on-monetary-policy-2014-05.pdf
smp,2014,aug,https://www.rba.gov.au/publications/smp/2014/aug/,https://www.rba.gov.au/publications/smp/2014/aug/pdf/statement-on-monetary-policy-2014-08.pdf
smp,2014,nov,https://www.rba.gov.au/publications/smp/2014/nov/,https://www.rba.gov.au/publications/smp/2014/nov/pdf/statement-on-monetary-policy-2014-11.pdf
smp,2015,feb,https://www.rba.gov.au/publications/smp/2015/feb/,https://www.rba.gov.au/publications/smp/2015/feb/pdf/statement-on-monetary-policy-2015-02.pdf
smp,2015,may,https://www.rba.gov.au/publications/smp/2015/may/,https://www.rba.gov.au/publications/smp/2015/may/pdf/statement-on-monetary-policy-2015-05.pdf
smp,2015,aug,https://www.rba.gov.au/publications/smp/2015/aug/,https://www.rba.gov.au/publications/smp/2015/aug/pdf/statement-on-monetary-policy-2015-08.pdf
smp,2015,nov,https://www.rba.gov.au/publications/smp/2015/nov/,https://www.rba.gov.au/publications/smp/2015/nov/pdf/statement-on-monetary-policy-2015-11.pdf
smp,2016,feb,https://www.rba.gov.au/publications/smp/2016/feb/,https://www.rba.gov.au/publications/smp/2016/feb/pdf/statement-on-monetary-policy-2016-02.pdf
smp,2016,may,https://www.rba.gov.au/publications/smp/2016/may/,https://www.rba.gov.au/publications/smp/2016/may/pdf/statement-on-monetary-policy-2016-05.pdf
smp,2016,aug,https://www.rba.gov.au/publications/smp/2016/aug/,https://www.rba.gov.au/publications/smp/2016/aug/pdf/statement-on-monetary-policy-2016-08.pdf
smp,2016,nov,https://www.rba.gov.au/publications/smp/2016/nov/,https://www.rba.gov.au/publications/smp/2016/nov/pdf/statement-on-monetary-policy-2016-11.pdf
smp,2017,feb,https://www.rba.gov.au/publications/smp/2017/feb/,https://www.rba.gov.au/publications/smp/2017/feb/pdf/statement-on-monetary-policy-2017-02.pdf
